group_id,icon_name,product_id,score
6,fragrance,521059,43723
6,fragrance,132012,43477
6,fragrance,545522,43183
6,fragrance,986709,41696
6,fragrance,981707,41501
6,fragrance,1919,41227
6,fragrance,981711,41203
6,fragrance,533001,39358
6,fragrance,989764,38667
6,fragrance,993173,38153
6,fragrance,3900,37642
6,fragrance,987617,37242
6,fragrance,983217,35950
6,fragrance,992628,35672
6,fragrance,992941,35247
6,fragrance,983219,34790
6,fragrance,905033,33031
6,fragrance,962145,32827
6,fragrance,984079,32781
6,fragrance,993329,32667
6,fragrance,991061,29788
5,hot_sale,994307,23672
5,hot_sale,153511,23658
5,hot_sale,985929,23657
5,hot_sale,967585,23650
5,hot_sale,7340,23645
5,hot_sale,994383,23635
5,hot_sale,983648,23634
5,hot_sale,967571,23629
5,hot_sale,994301,23629
5,hot_sale,981640,23625
5,hot_sale,627008,23619
5,hot_sale,994049,23617
5,hot_sale,992321,23611
5,hot_sale,993039,23610
5,hot_sale,985218,23608
5,hot_sale,983253,23600
5,hot_sale,993850,23599
5,hot_sale,993330,23598
5,hot_sale,981287,23595
5,hot_sale,982223,23543
5,hot_sale,994200,23526
5,hot_sale,994199,23435
5,hot_sale,985738,23262
5,hot_sale,993500,22895
5,hot_sale,993093,22630
5,hot_sale,993347,22559
5,hot_sale,987702,22302
5,hot_sale,984197,22106
5,hot_sale,993907,22099
5,hot_sale,992629,21917
5,hot_sale,983952,21878
5,hot_sale,993864,21703
5,hot_sale,982973,20691
5,hot_sale,993958,20597
5,hot_sale,991408,20006
5,hot_sale,991673,19839
5,hot_sale,988890,17023
5,hot_sale,992575,15357
5,hot_sale,991695,14831
5,hot_sale,981648,14176
5,hot_sale,981645,13613
5,hot_sale,1134,12796
5,hot_sale,993954,12579
5,hot_sale,354512,12221
5,hot_sale,984091,12056
5,hot_sale,991402,11570
5,hot_sale,994480,11471
5,hot_sale,993747,10585
5,hot_sale,993484,10568
5,hot_sale,992600,10061
5,new_prod,994354,23699
5,new_prod,982016,23699
5,new_prod,993953,23699
5,new_prod,993969,23699
5,new_prod,952560,23699
5,new_prod,994170,23699
5,new_prod,993968,23699
5,new_prod,994099,23699
5,new_prod,994076,23699
5,new_prod,994168,23699
5,new_prod,994316,23699
5,new_prod,994169,23699
5,new_prod,994165,23699
5,new_prod,994393,23699
5,new_prod,994392,23699
5,new_prod,994095,23699
5,new_prod,994100,23699
5,new_prod,994181,23699
5,new_prod,994184,23699
5,new_prod,994182,23699
5,new_prod,992634,23699
5,new_prod,994163,23699
5,new_prod,994167,23699
5,new_prod,994166,23699
5,new_prod,994654,23699
5,new_prod,994653,23699
5,new_prod,994508,23699
5,new_prod,993967,23699
5,new_prod,994536,23699
5,new_prod,994183,23699
5,new_prod,994546,23699
5,new_prod,994547,23699
5,new_prod,994545,23699
5,new_prod,994185,23699
5,new_prod,994186,23699
5,new_prod,994443,23699
5,new_prod,994442,23699
5,new_prod,994444,23699
5,new_prod,994652,23699
5,serum,988600,23693
5,serum,581625,23693
5,serum,982890,23692
5,serum,991392,23692
5,serum,581624,23691
5,serum,985699,23690
5,serum,983728,23690
5,serum,724131,23689
5,serum,991405,23688
