group,icon,op_code,vote_score
3,hot_sale,992846,7454
3,hot_sale,983952,7454
3,hot_sale,734529,7454
3,hot_sale,992832,7454
3,hot_sale,992598,7454
3,hot_sale,993335,7454
3,hot_sale,991742,7454
3,hot_sale,993750,7454
3,hot_sale,993646,7454
3,hot_sale,993484,7453
3,hot_sale,993704,7453
3,hot_sale,983885,7453
3,hot_sale,994629,7453
3,hot_sale,5801,7451
3,hot_sale,994161,7449
3,hot_sale,992863,7449
3,hot_sale,983253,7441
3,hot_sale,981645,7422
3,hot_sale,993954,7397
3,hot_sale,985929,7383
3,hot_sale,992850,7382
3,hot_sale,994060,6887
3,hot_sale,993330,6743
3,hot_sale,982223,6646
3,hot_sale,992600,6153
3,hot_sale,989695,5969
3,hot_sale,994199,5927
3,hot_sale,627008,5835
3,hot_sale,981648,5620
3,hot_sale,991898,5429
3,hot_sale,981640,4534
3,new_prod,994181,7454
3,new_prod,994184,7454
3,new_prod,982016,7454
3,new_prod,994095,7454
3,new_prod,994182,7454
3,new_prod,994183,7454
3,new_prod,994185,7454
3,new_prod,994186,7454
3,new_prod,994100,7454
3,new_prod,994546,7454
3,new_prod,994547,7454
3,new_prod,994545,7454
3,new_prod,994076,7454
3,new_prod,992634,7454
3,new_prod,994508,7454
3,new_prod,993969,7454
3,new_prod,994653,7454
3,new_prod,994536,7454
3,new_prod,994654,7454
3,new_prod,993967,7454
3,new_prod,993968,7454
3,new_prod,994167,7454
3,new_prod,994166,7454
3,new_prod,994652,7454
3,new_prod,994443,7454
3,new_prod,994442,7454
3,new_prod,994444,7454
3,new_prod,994168,7454
3,new_prod,994165,7454
3,new_prod,994169,7454
3,new_prod,994099,7454
3,new_prod,994170,7454
3,new_prod,994354,7454
3,new_prod,994316,7454
3,new_prod,994393,7454
3,new_prod,994163,7454
3,new_prod,952560,7454
3,new_prod,994392,7454
3,new_prod,993953,7454
3,serum,581624,7454
3,serum,985699,7454
3,serum,981965,7454
3,serum,983776,7454
3,serum,464002,7454
3,serum,988081,7454
3,serum,991392,7454
3,serum,991405,7454
3,serum,938014,7454
3,serum,905075,7454
3,serum,982890,7454
3,serum,988600,7454
3,serum,581625,7454
3,serum,896120,7454
3,serum,545524,7454
3,serum,991154,7454
3,serum,985790,7454
3,serum,962387,7454
3,serum,6624,7454
3,serum,986715,7454
3,serum,992120,7454
3,serum,845550,7454
3,serum,884516,7454
3,serum,981987,7454
3,serum,984369,7454
3,serum,988590,7454
3,serum,989317,7454
3,serum,985254,7454
3,serum,986905,7454
3,serum,994284,7453
3,serum,105059,7453
3,serum,991183,7451
3,serum,981948,7449
3,serum,989677,7448
3,serum,985670,7446
3,serum,993036,7436
3,serum,724131,7434
3,serum,992942,7434
3,serum,962390,7433
3,serum,992901,7429
3,serum,941502,7418
3,serum,991307,7367
3,serum,986300,7151
3,serum,883019,6991
3,serum,991231,6795
3,serum,538217,6733
3,serum,991943,6603
3,serum,991599,6334
3,serum,157502,6151
3,serum,952518,5444
3,facial_mask,992844,7454
3,facial_mask,5801,7454
3,facial_mask,549030,7454
3,facial_mask,987824,7454
3,facial_mask,984999,7454
3,facial_mask,979916,7454
3,facial_mask,991903,7454
3,facial_mask,986273,7454
3,facial_mask,5818,7454
3,facial_mask,971528,7454
3,facial_mask,357512,7454
3,facial_mask,905070,7454
3,facial_mask,5824,7454
3,facial_mask,988806,7454
3,facial_mask,3637,7454
3,facial_mask,983884,7454
3,facial_mask,990490,7454
3,facial_mask,984491,7454
3,facial_mask,985821,7454
3,facial_mask,986747,7454
3,facial_mask,521049,7454
3,facial_mask,985125,7454
3,facial_mask,959518,7454
3,facial_mask,988812,7454
3,facial_mask,975936,7454
3,facial_mask,905059,7454
3,facial_mask,316582,7454
3,facial_mask,830561,7454
3,facial_mask,878001,7454
3,facial_mask,990859,7454
3,facial_mask,982252,7454
3,facial_mask,988583,7454
3,facial_mask,155533,7454
3,facial_mask,990598,7454
3,facial_mask,992118,7454
3,facial_mask,293544,7454
3,facial_mask,986283,7453
3,facial_mask,381540,7453
3,facial_mask,982179,7453
3,facial_mask,639012,7450
3,facial_mask,982178,7439
3,facial_mask,986170,7439
3,facial_mask,991673,7435
3,facial_mask,719012,7434
3,facial_mask,845552,7399
3,facial_mask,991238,7052
3,facial_mask,7250,6765
3,facial_mask,988249,6327
3,facial_mask,990855,5290
3,facial_mask,986308,5107
3,lip_stick,983253,7454
3,lip_stick,994199,7454
3,lip_stick,981640,7454
3,lip_stick,994307,7454
3,lip_stick,983977,7454
3,lip_stick,993980,7454
3,lip_stick,983059,7454
3,lip_stick,6825,7454
3,lip_stick,983648,7454
3,lip_stick,778029,7454
3,lip_stick,354512,7454
3,lip_stick,983784,7454
3,lip_stick,988233,7454
3,lip_stick,988466,7454
3,lip_stick,991315,7454
3,lip_stick,989863,7454
3,lip_stick,981322,7454
3,lip_stick,989833,7454
3,lip_stick,983207,7454
3,lip_stick,956783,7453
3,lip_stick,992321,7453
3,lip_stick,985688,7452
3,lip_stick,741508,7452
3,lip_stick,982040,7452
3,lip_stick,993039,7452
3,lip_stick,988072,7452
3,lip_stick,994301,7451
3,lip_stick,983653,7451
3,lip_stick,990432,7451
3,lip_stick,985738,7448
3,lip_stick,988314,7448
3,lip_stick,991399,7447
3,lip_stick,991400,7432
3,lip_stick,3420,7400
3,lip_stick,994040,7399
3,lip_stick,982248,7373
3,lip_stick,984326,7336
3,lip_stick,981650,7326
3,lip_stick,3651,7218
3,lip_stick,993754,7160
3,lip_stick,981323,6989
3,lip_stick,994039,6550
3,lip_stick,987775,6187
3,lip_stick,502012,5850
3,lip_stick,987022,5802
3,lip_stick,987845,5631
3,lip_stick,982034,5527
3,lip_stick,994383,5483
3,lip_stick,981289,5037
3,lip_stick,485509,4938
3,fragrance,987759,7454
3,fragrance,1919,7454
3,fragrance,988682,7454
3,fragrance,990669,7454
3,fragrance,984102,7454
3,fragrance,1134,7454
3,fragrance,993190,7454
3,fragrance,982203,7454
3,fragrance,981711,7454
3,fragrance,545522,7454
3,fragrance,905033,7454
3,fragrance,956566,7454
3,fragrance,981707,7454
3,fragrance,984079,7454
3,fragrance,6641,7454
3,fragrance,992621,7454
3,fragrance,988426,7454
3,fragrance,992597,7454
3,fragrance,991136,7454
3,fragrance,987758,7454
3,fragrance,991468,7454
3,fragrance,989603,7454
3,fragrance,987756,7454
3,fragrance,982209,7453
3,fragrance,991062,7452
3,fragrance,969517,7452
3,fragrance,983952,7452
3,fragrance,992846,7451
3,fragrance,485504,7450
3,fragrance,992765,7443
3,fragrance,984078,7437
3,fragrance,982161,7432
3,fragrance,993329,7422
3,fragrance,985034,7389
3,fragrance,990666,7379
3,fragrance,987617,7359
3,fragrance,991951,7294
3,fragrance,3900,7286
3,fragrance,1841,7252
3,fragrance,521059,6970
3,fragrance,962145,6837
3,fragrance,986709,6258
3,fragrance,983217,6035
3,fragrance,988655,5703
3,fragrance,992598,5650
3,fragrance,989764,5367
3,fragrance,819154,4921
3,fragrance,991061,4156
3,fragrance,993486,4053
3,fragrance,993187,3709
4,hot_sale,991416,21165
4,hot_sale,982849,21165
4,hot_sale,581624,21165
4,hot_sale,994200,21165
4,hot_sale,991402,21165
4,hot_sale,5802,21165
4,hot_sale,993862,21165
4,hot_sale,987984,21165
4,hot_sale,991408,21165
4,hot_sale,992829,21165
4,hot_sale,993958,21165
4,hot_sale,988682,21165
4,hot_sale,991695,21165
4,hot_sale,984197,21165
4,hot_sale,1134,21165
4,hot_sale,992846,21165
4,hot_sale,992832,21165
4,hot_sale,993750,21165
4,hot_sale,993646,21165
4,hot_sale,992261,21164
4,hot_sale,993484,21164
4,hot_sale,992859,21164
4,hot_sale,993335,21164
4,hot_sale,983952,21164
4,hot_sale,991880,21163
4,hot_sale,991392,21163
4,hot_sale,992598,21162
4,hot_sale,992863,21158
4,hot_sale,991742,21157
4,hot_sale,994629,21156
4,hot_sale,734529,21154
4,hot_sale,993704,21153
4,hot_sale,983885,21147
4,hot_sale,5801,21144
4,hot_sale,994161,21089
4,hot_sale,983253,20876
4,hot_sale,981645,20821
4,hot_sale,993954,20754
4,hot_sale,985929,20680
4,hot_sale,993330,20178
4,hot_sale,994060,19768
4,hot_sale,982223,19392
4,hot_sale,992850,19219
4,hot_sale,627008,19125
4,hot_sale,989695,17814
4,hot_sale,981648,17565
4,hot_sale,991898,16487
4,hot_sale,981640,14164
4,hot_sale,994307,13989
4,hot_sale,994199,13197
4,new_prod,994181,21165
4,new_prod,994095,21165
4,new_prod,994183,21165
4,new_prod,994185,21165
4,new_prod,994186,21165
4,new_prod,994184,21165
4,new_prod,994182,21165
4,new_prod,982016,21165
4,new_prod,994100,21165
4,new_prod,994076,21165
4,new_prod,994508,21165
4,new_prod,994546,21165
4,new_prod,994547,21165
4,new_prod,994545,21165
4,new_prod,993969,21165
4,new_prod,994653,21165
4,new_prod,994536,21165
4,new_prod,994654,21165
4,new_prod,993967,21165
4,new_prod,992634,21165
4,new_prod,994167,21165
4,new_prod,994166,21165
4,new_prod,993968,21165
4,new_prod,994443,21165
4,new_prod,994442,21165
4,new_prod,994444,21165
4,new_prod,994652,21165
4,new_prod,994099,21165
4,new_prod,994168,21165
4,new_prod,994169,21165
4,new_prod,994165,21165
4,new_prod,994170,21165
4,new_prod,994354,21165
4,new_prod,994316,21165
4,new_prod,994163,21165
4,new_prod,994393,21165
4,new_prod,952560,21165
4,new_prod,994392,21165
4,new_prod,993953,21165
4,serum,581624,21165
4,serum,985699,21165
4,serum,981965,21165
4,serum,983776,21165
4,serum,464002,21165
4,serum,991405,21165
4,serum,991392,21165
4,serum,988081,21165
4,serum,905075,21165
4,serum,982890,21165
4,serum,581625,21165
4,serum,988600,21165
4,serum,938014,21165
4,serum,545524,21165
4,serum,896120,21165
4,serum,985790,21165
4,serum,962387,21165
4,serum,991154,21165
4,serum,6624,21165
4,serum,845550,21165
4,serum,986715,21165
4,serum,985254,21165
4,serum,981987,21165
4,serum,105059,21165
4,serum,986905,21165
4,serum,994284,21164
4,serum,884516,21164
4,serum,984369,21164
4,serum,985670,21164
4,serum,989317,21164
4,serum,988590,21163
4,serum,991183,21162
4,serum,989677,21162
4,serum,992120,21161
4,serum,993036,21161
4,serum,962390,21158
4,serum,992942,21158
4,serum,981948,21157
4,serum,724131,21155
4,serum,941502,21100
4,serum,992901,21073
4,serum,211508,20750
4,serum,538217,20323
4,serum,991943,19985
4,serum,157502,19685
4,serum,991307,19489
4,serum,883019,18357
4,serum,986300,18004
4,serum,333504,15088
4,serum,991231,14650
4,facial_mask,992844,21165
4,facial_mask,5801,21165
4,facial_mask,549030,21165
4,facial_mask,984999,21165
4,facial_mask,987824,21165
4,facial_mask,991903,21165
4,facial_mask,986273,21165
4,facial_mask,5818,21165
4,facial_mask,979916,21165
4,facial_mask,5824,21165
4,facial_mask,357512,21165
4,facial_mask,3637,21165
4,facial_mask,905070,21165
4,facial_mask,983884,21165
4,facial_mask,990490,21165
4,facial_mask,984491,21165
4,facial_mask,985821,21165
4,facial_mask,905059,21165
4,facial_mask,971528,21164
4,facial_mask,986283,21164
4,facial_mask,988806,21164
4,facial_mask,975936,21163
4,facial_mask,986747,21161
4,facial_mask,830561,21161
4,facial_mask,521049,21160
4,facial_mask,991673,21159
4,facial_mask,959518,21158
4,facial_mask,988812,21158
4,facial_mask,985125,21158
4,facial_mask,316582,21158
4,facial_mask,878001,21158
4,facial_mask,719012,21158
4,facial_mask,381540,21157
4,facial_mask,990598,21157
4,facial_mask,293544,21157
4,facial_mask,639012,21157
4,facial_mask,988583,21157
4,facial_mask,990859,21156
4,facial_mask,155533,21156
4,facial_mask,982252,21156
4,facial_mask,992118,21149
4,facial_mask,982179,21140
4,facial_mask,982178,21126
4,facial_mask,986170,21098
4,facial_mask,845552,20558
4,facial_mask,991238,20027
4,facial_mask,988249,18090
4,facial_mask,990855,17252
4,facial_mask,7250,17179
4,facial_mask,983764,16263
4,lip_stick,983253,21165
4,lip_stick,994199,21165
4,lip_stick,981640,21165
4,lip_stick,983977,21165
